ts	phase	decision	why	evidence	result
2026-09-16T05:46:48Z	foundation	Use research for age advancement with shared prerequisite validation	Existing worker research already has paid costs and timed completion; extend it consistently across clients	src/core/simulation.ts	implementation started
2026-09-16T05:47:52Z	foundation	Implement timed ages, prerequisite checks, duplicate prevention and military effects	All clients must obey the same progression and prevent parallel duplicate charges	tests/progression.test.ts	3 focused tests passed; TypeScript passed
2026-09-16T05:55:44Z	artwork	Render three new roles for all six factions from editable Blender models	Each role needs a distinct silhouette, eight directions and complete animations	art/blender/progression.py	cavalry, spear and siege samples inspected; full batch running
2026-09-16T05:58:37Z	playtest	Complete the first unassisted AI match with all ages and new troop roles	Progression needs to occur in an ordinary economy and end in a real result	work/three-ages/matches/orcs-fairies-medium-4127.json	Fairy victory at 11:57; both sides reached Citadel Age and expanded
2026-09-16T06:00:30Z	artwork	Restart the new sprite batch with 224 by 224 canvases	256 canvases wasted memory; 192 width clipped the death-pose pike, so retain a safe margin	work/three-ages/art-tight-sample.log	sample clipping detected and corrected; replacement full batch running
2026-09-16T06:04:03Z	regression	Complete all 36 pairings and expand roster coverage assertions	Old aggregate assertion rejected the new wall and gate types although every match completed	work/three-ages/tests-v2.log	232 tests passed; obsolete aggregate assertion corrected and strengthened
2026-09-16T06:05:18Z	fortifications	Add joinable walls and explicitly openable gates with navigation updates	Fortifications must protect settlements without trapping armies or closing on units	tests/progression.test.ts	gate, expansion, counter and unlock tests passed; AI builds defensive screens
2026-09-16T06:06:57Z	maps	Add rich flank expansion camps and AI scouting on large and huge maps	Additional space needs economic destinations away from the direct attack route	src/core/maps.ts	61 focused tests passed before scout integration; latest TypeScript passed
2026-09-16T06:12:14Z	artwork	Recenter fallen models on their footprint and rest them on the ground	Full directional scan caught death-pose clipping missed by the first direction samples	work/three-ages/death-directions.log	all eight final death directions have at least 26 pixels margin; regenerating death frames and remaining assets
2026-09-16T06:12:14Z	terminal	Play and replay an observation-only terminal match using age research	The terminal interface must support the same progression and retain deterministic replay	work/three-ages/terminal-replay.log	236 requests replayed exactly; match completed at 8:31
2026-09-16T06:19:04Z	interface	Separate Build, Recruit and Orders for mixed selections	Six new command slots plus unit orders exceeded the two-row panel	tests/technology-tree.test.ts	integration tests cover six build slots, six recruits, age locks and order tab
2026-09-16T06:19:04Z	AI	Remember observed enemy buildings and search after clearing the known base	An enemy expansion must be discoverable after the starting stronghold falls	tests/progression.test.ts	focused tests verify last-seen coordinates and fog search without hidden HQ lookup
2026-09-16T06:22:35Z	progression	Unlock faction specialists in Town Age alongside cavalry	Age advancement should unlock faction powers; early Dwarf cannons also weakened the siege progression	src/core/content.ts	focused age, crystal-cost and rally fixtures updated to exercise their intended age
2026-09-16T06:34:47Z	verification	Pass the complete 237-test simulation suite after specialist age gating	Final mechanics need full-match coverage after progression changes	work/three-ages/tests-v6.log	all 16 test files passed; every faction reached Citadel Age and used all roles across 36 pairings
2026-09-16T06:37:52Z	artwork	Move gate portcullises to the visible front doorway	The first closed gate render looked empty from the calibrated camera angle	art/blender/fortifications.py	closed-gate render inspected; regenerated all faction fortifications
2026-09-16T06:51:26Z	verification	Replace obsolete benchmark asset total with required-frame validation	The 70-asset equality rejected the complete 100-asset build; ArtRuntime checks all required animation frames	src/main.ts	Rerunning the controlled 100-unit sample after rebuilding
2026-09-16T06:58:08Z	audit	Correct the 06:04 regression checkpoint: its suite failed	232 individual tests passed but the aggregate assertion failed; later runs supersede it	docs/evidence/three-ages/tests-v2.log	The 06:04 result wording was incomplete; tests-final.log records 16 files and 237 tests passing
2026-09-16T06:58:08Z	audit	Separate final match coverage from the test count and early foundation checkpoint	The three initial research tests did not prove military effects; later real-combat tests do	docs/evidence/three-ages/progression-final.log	15 focused tests pass including military effects, private enemy stats and flank expansion delivery; 36-match outcomes are in regression-summary.json
