ts	phase	decision	why	evidence	result
2026-09-05T03:53:16Z	setup	Use Phaser and TypeScript with separate simulation and presentation	Browser-first 2D target and editable faction content	docs/CONTRACT.md	contract established
2026-09-05T03:53:16Z	art	Generate one coherent reference board before implementation	Establish consistent faction silhouettes and battlefield scale	art/reference/factions-and-battlefield.png	reference generated; final Blender production waits for playable gate
2026-09-05T04:05:13Z	verification	Use a fixed production preview for browser matches	Live reload reset an early match while agents fixed simulation bugs	src/main.ts	browser match running at localhost:4173; no completion claim
2026-09-05T04:05:13Z	review	Fix AI construction recovery, facing, and hidden enemy selection	Independent review reproduced or identified gameplay defects	src/core/simulation.ts	fixes assigned; regression tests pending
2026-09-05T04:13:14Z	gate	Permit Blender asset production after complete manual placeholder match	Normal UI commands reached resource gathering, construction, recruitment, combat, defeat and restart	docs/evidence/PLACEHOLDER_GATE.md	placeholder loop proven; final browser and art requirements remain open
2026-09-05T04:16:53Z	testing	Investigate full-match failure after rule fixes instead of relaxing the test	A revised match exceeded900seconds despite passing isolated rules	src/core/simulation.ts	AStar resource-edge obstruction found and fixed; full tests pass again
2026-09-05T04:16:53Z	art	Begin separate unit, building and environment model sources	Manual placeholder match gate passed and Blender transparent GPU rendering works	art/blender/CONTRACT.md	representative assets in production; final quality unverified
2026-09-05T04:25:34Z	audit	Attach actual test run and source hashes to the passing-test checkpoint	Earlier decision row cited implementation rather than execution evidence	docs/evidence/simulation-tests.txt	32 tests pass; source hashes recorded
2026-09-05T04:25:34Z	audit	Attach GPU render execution evidence and preserve browser session	A specification alone does not prove rendering or restart	work/blender-smoke/optix.json;docs/evidence/placeholder-orcs-session.jsonl;docs/ART_PIPELINE.md	actual transparent render and browser restart evidence retained
2026-09-05T04:39:09.433424+00:00	art	Approve full unit render after corrected sample review	Death poses needed larger canvases and attack needed forward contact	art/blender/raw/units/sample-contact.png;art/blender/raw/units/ironjaw-attack-review.png	1536-frame batch running; final animation validation pending
2026-09-05T04:39:09.433436+00:00	controls	Use sprite alpha for entity and resource click areas	Rendered roofs and tree canopies exceeded placeholder hit areas	src/game/ArtRuntime.ts;docs/evidence/art-selection.json	Browser roof selection and canopy gathering passed; wood increased420to438
2026-09-05T04:47:56.189065+00:00	animation	Complete attack recovery and repeat worker action frames	Simulation attack markers end before the six-frame clip and work repeats continuously	src/game/ArtRuntime.ts	source fixed; full sprite browser review pending
2026-09-05T04:47:56.189077+00:00	controls	Compute movement facing from displacement before changing position	Near arrivals and axis slides retained incorrect facing	docs/evidence/simulation-tests.txt	18 regressions added; all50 tests pass
2026-09-05T04:53:36.484389+00:00	performance	Reject incomplete artwork and count successful final-unit rendering	Cross-model review found manifest counts could hide missing unit atlases	src/game/ArtRuntime.ts;src/main.ts;docs/evidence/benchmark-instrumentation-invalid.json	acceptance logic strengthened; final benchmark pending
2026-09-05T04:55:31.545398+00:00	art	Pack complete Blender output into the production assets	All1536unitframes and40buildingframes passed structural review	docs/evidence/packed-assets.json;art/blender/raw/units/validation.json	31assets24atlases1576frames;230.59MiB decoded atlas data; browser review pending
2026-09-05T04:59:10.025258+00:00	performance	Record complete-art baseline without calling the FPS target passed	All 100 units rendered but the mean was below 60 FPS	docs/evidence/PERFORMANCE_BASELINE.md;docs/evidence/performance-final-art-baseline.json	valid 1080p sample; 58.56 FPS; optimization pending
2026-09-05T05:11:31.981845+00:00	gameplay	Preserve complete-art orc defeat and separate restart check	Normal UI play reached HQ destruction; user closed tab before end-screen restart	docs/evidence/ORCS_FINAL_ART_MATCH.md	defeat at 6:45; active-match restart passed; victory and fairy matches open
2026-09-05T05:14:33.288497+00:00	performance	Trim transparent sprite rectangles and skip unchanged setters	Rendering padding and redundant depth sorts consumed the frame budget	docs/evidence/PERFORMANCE_TRIMMED.md;scripts/check_asset_packer.py	144.01 FPS with 100 final sprites at 1080p; target exceeded in measured workload
2026-09-05T05:17:21.270244+00:00	controls	Add F2 military selection after difficult regrouping in actual play	Tall buildings obscured troops and drag boxes also selected builders	src/game/GameScene.ts;src/ui/Hud.ts	browser selected only initial Thornblade; no orders issued; full-army use pending
